Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Trunk.JointReactionForce.L5SacrumMedioLateralForce
 1.733368000000000e+00,-1.061957038866198e+01
 1.750035000000000e+00,-1.080683160760576e+01
 1.766702000000000e+00,-1.080035350251991e+01
 1.783369000000000e+00,-1.056809159594479e+01
 1.800036000000000e+00,-1.016850744908788e+01
 1.816703000000000e+00,-9.671138065643305e+00
 1.833370000000000e+00,-9.194822487899927e+00
 1.850037000000000e+00,-8.801011482114873e+00
 1.866704000000000e+00,-8.531593892183835e+00
 1.883371000000000e+00,-8.480441204901680e+00
 1.900038000000000e+00,-8.928539305220795e+00
 1.916705000000000e+00,-1.003118853611677e+01
 1.933372000000000e+00,-1.180616723432602e+01
 1.950039000000000e+00,-1.395196478323091e+01
 1.966706000000000e+00,-1.604702317068692e+01
 1.983373000000000e+00,-1.739910045414316e+01
 2.000040000000000e+00,-1.750669480816144e+01
 2.016707000000000e+00,-1.609974770636425e+01
 2.033374000000000e+00,-1.331058940152667e+01
 2.050041000000000e+00,-1.005488562372827e+01
 2.066708000000000e+00,-6.993496886791910e+00
 2.083375000000000e+00,-6.348473052165822e+00
 2.100042000000000e+00,-8.289209597552613e+00
 2.116709000000000e+00,-9.792470906896732e+00
 2.133376000000000e+00,-1.073635195793479e+01
 2.150043000000000e+00,-1.024235995644812e+01
 2.166710000000000e+00,-1.025886003329791e+01
 2.183377000000000e+00,-8.719748624950027e+00
 2.200044000000000e+00,-5.810608138507659e+00
 2.216711000000000e+00,-1.961648924832000e+00
 2.233378000000000e+00, 1.716440431215561e+00
 2.250045000000000e+00, 4.342938554674051e+00
 2.266712000000000e+00, 5.616462403306288e+00
 2.283379000000000e+00, 5.309921096335759e+00
 2.300046000000000e+00, 4.128450181850952e+00
 2.316713000000000e+00, 2.940537116817444e+00
 2.333380000000000e+00, 2.337060623069974e+00
 2.350047000000000e+00, 2.242151932592176e+00
 2.366714000000000e+00, 2.345422546037154e+00
 2.383381000000000e+00, 2.593324727787554e+00
 2.400048000000000e+00, 3.045804140305476e+00
 2.416715000000000e+00, 3.553138613186844e+00
 2.433382000000000e+00, 3.808398462715706e+00
 2.450049000000000e+00, 3.709737789877659e+00
 2.466716000000000e+00, 3.096073450941709e+00
 2.483383000000000e+00, 2.124232327130745e+00
 2.500050000000000e+00, 9.579564529688618e-01
 2.516717000000000e+00,-4.049940354763031e-01
 2.533384000000000e+00,-1.437571070324537e+00
 2.550051000000000e+00,-2.066687611500388e+00
 2.566718000000000e+00,-1.872356669639590e+00
 2.583385000000000e+00,-1.579321854974651e+00
 2.600052000000000e+00,-2.476963265615669e+00
 2.616719000000000e+00,-2.701491456514917e+00
 2.633386000000000e+00,-2.615088926402331e+00
 2.650053000000000e+00,-2.795614128333920e+00
 2.666720000000000e+00,-3.076656138523301e+00
 2.683387000000000e+00,-4.377562614802492e+00
 2.700054000000000e+00,-5.328585509351651e+00
 2.716721000000000e+00,-7.129862269637421e+00
 2.733388000000000e+00,-9.589691048536277e+00
 2.750055000000000e+00,-9.659483427200428e+00
 2.766722000000000e+00,-8.467352838324365e+00
 2.783389000000000e+00,-7.217006244593261e+00
 2.800056000000000e+00,-6.804211116218896e+00
 2.816723000000000e+00,-6.943094365596750e+00
 2.833390000000000e+00,-7.399685074389961e+00
 2.850057000000000e+00,-7.710025415739665e+00
 2.866724000000000e+00,-7.764233160393761e+00
 2.883391000000000e+00,-8.056133588166144e+00
 2.900058000000000e+00,-8.467014676378199e+00
 2.916725000000000e+00,-8.720060012893221e+00
 2.933392000000000e+00,-8.716612068216918e+00
 2.950059000000000e+00,-8.381603271888675e+00
 2.966726000000000e+00,-7.726660317176378e+00
 2.983393000000000e+00,-6.882849230771502e+00
 3.000060000000000e+00,-5.858859873499064e+00
 3.016727000000000e+00,-4.686949600250564e+00
 3.033394000000000e+00,-3.492153166731878e+00
 3.050061000000000e+00,-2.419461080849455e+00
 3.066728000000000e+00,-1.713456876165864e+00
 3.083395000000000e+00,-1.501300252381220e+00
 3.100062000000000e+00,-2.266858770583823e+00
 3.116729000000000e+00,-3.510149866194212e+00
 3.133396000000000e+00,-4.467688272395876e+00
 3.150063000000000e+00,-5.073354356074944e+00
 3.166730000000000e+00,-4.996524872867091e+00
 3.183397000000000e+00,-4.014959473033564e+00
 3.200064000000000e+00,-2.464431078006847e+00
 3.216731000000000e+00,-8.110558690161440e-01
 3.233398000000000e+00, 4.692164203024802e-01
 3.250065000000000e+00, 1.203213356534658e+00
 3.266732000000000e+00, 1.172353186044212e+00
 3.283399000000000e+00, 4.778532081084741e-01
 3.300066000000000e+00,-4.649663466675733e-01
 3.316733000000000e+00,-1.442245781694567e+00
 3.333400000000000e+00,-2.058888834606289e+00
 3.350067000000000e+00,-2.624388774652026e+00
 3.366734000000000e+00,-3.435080999065473e+00
 3.383401000000000e+00,-4.653342817707284e+00
 3.400068000000000e+00,-6.340127052062446e+00
 3.416735000000001e+00,-8.313653187854571e+00
 3.433402000000000e+00,-9.402469040151697e+00
 3.450069000000000e+00,-7.998087073641106e+00
 3.466736000000000e+00,-5.297837740161532e+00
 3.483403000000000e+00,-2.440559491026377e+00
 3.500070000000000e+00, 7.915307045151607e-01
 3.516737000000000e+00, 3.962707500523869e+00
 3.533404000000000e+00, 7.079916730903228e+00
 3.550071000000000e+00, 9.538999719732281e+00
 3.566738000000000e+00,-7.810940763927100e+00
 3.583405000000000e+00,-4.509823530695802e+01
 3.600072000000000e+00,-3.515433844654933e+01
 3.616739000000000e+00,-2.515497868900335e+01
 3.633406000000000e+00,-2.684606724823524e+01
 3.650073000000000e+00,-3.093131179180618e+01
 3.666740000000000e+00,-2.968695855119895e+01
 3.683407000000000e+00,-2.837043376547852e+01
 3.700074000000000e+00,-2.954260521956353e+01
 3.716741000000000e+00,-3.061843998473915e+01
 3.733408000000000e+00,-2.997380148445811e+01
 3.750075000000000e+00,-2.975851733005898e+01
 3.766742000000000e+00,-2.962764771791280e+01
 3.783409000000000e+00,-2.894270082280462e+01
 3.800076000000000e+00,-2.852269131908216e+01
 3.816743000000000e+00,-2.886962431105491e+01
 3.833410000000000e+00,-2.910523301446258e+01
 3.850077000000000e+00,-2.799858064459399e+01
 3.866744000000000e+00,-2.638105256268383e+01
 3.883411000000000e+00,-2.559845418192873e+01
 3.900078000000000e+00,-2.560551811483113e+01
 3.916745000000000e+00,-2.549481731973565e+01
 3.933412000000000e+00,-2.474328309689896e+01
 3.950079000000000e+00,-2.337830839164269e+01
 3.966746000000000e+00,-2.237814165807245e+01
 3.983413000000000e+00,-2.242652147899940e+01
 4.000080000000001e+00,-2.286980308929219e+01
 4.016747000000001e+00,-2.214155383720263e+01
 4.033414000000000e+00,-2.148039875210346e+01
 4.050081000000000e+00,-2.171728930304629e+01
 4.066748000000000e+00,-2.230498725659530e+01
 4.083415000000000e+00,-2.189410022156828e+01
 4.100082000000000e+00,-2.182977296705792e+01
 4.116749000000000e+00,-2.276076455483307e+01
 4.133416000000000e+00,-2.354260521885681e+01
 4.150083000000000e+00,-2.448364699979233e+01
 4.166750000000000e+00,-2.617905389606564e+01
 4.183417000000000e+00,-2.702691640341770e+01
 4.200084000000000e+00,-2.679380687963882e+01
 4.216751000000000e+00,-2.388962811967307e+01
 4.233418000000000e+00,-1.950808329740776e+01
 4.250085000000000e+00,-1.604143546562322e+01
 4.266752000000000e+00,-1.535777861609613e+01
 4.283419000000000e+00,-1.680105150167718e+01
 4.300086000000000e+00,-2.365876081634472e+01
 4.316753000000000e+00,-3.676670248566713e+01
 4.333420000000000e+00,-4.133603006849138e+01
 4.350087000000000e+00,-4.811472862407626e+01
 4.366754000000000e+00,-5.865604531816623e+01
 4.383421000000000e+00,-8.779677043269292e+01
 4.400088000000000e+00,-1.038895812847962e+02
 4.416755000000000e+00,-1.453574975730575e+02
 4.433422000000000e+00,-1.245630972750675e+02
 4.450089000000000e+00,-1.380979861431082e+02
 4.466756000000000e+00,-1.296007715268310e+02
 4.483423000000000e+00,-1.016789702855665e+02
 4.500090000000000e+00,-9.093520697154258e+01
 4.516757000000000e+00,-5.153701055428996e+01
 4.533424000000000e+00,-6.518367784159764e+01
 4.550091000000000e+00,-6.546297237881265e+01
 4.566758000000000e+00,-6.507825970157116e+01
 4.583425000000000e+00,-6.605971204395829e+01
 4.600092000000000e+00,-5.797155854753612e+01
 4.616759000000000e+00,-6.104568217538869e+01
 4.633426000000000e+00,-5.758939217690340e+01
 4.650093000000000e+00,-4.922099570758802e+01
 4.666760000000000e+00,-4.363077664864643e+01
 4.683427000000000e+00,-4.108537531754286e+01
 4.700094000000000e+00,-3.707321366564383e+01
 4.716761000000000e+00,-5.085796512391617e+01
 4.733428000000000e+00,-4.164741522865958e+01
 4.750095000000000e+00,-2.511567654627161e+01
 4.766762000000000e+00,-1.800851532949648e+01
 4.783429000000000e+00,-2.170144271595340e+01
 4.800096000000000e+00,-3.677931991317876e+01
 4.816763000000000e+00,-3.465054418439522e+01
 4.833430000000000e+00,-2.412405242574215e+01
 4.850097000000000e+00,-4.138644525916429e+01
 4.866764000000000e+00,-1.704353270926515e+01
 4.883431000000001e+00,-2.212232257158708e+01
 4.900098000000000e+00,-1.224424551714091e+01
 4.916765000000000e+00,-1.034203790594450e+01
 4.933432000000001e+00,-1.382888296963378e+01
 4.950099000000001e+00,-8.763849337726736e+00
 4.966766000000000e+00,-8.253253745411735e+00
 4.983433000000000e+00,-8.856218127946796e+00
 5.000100000000001e+00,-1.980907370941038e+01
 5.016767000000000e+00,-7.515737483823162e+00
 5.033434000000000e+00,-3.427439695808699e+00
 5.050101000000001e+00,-1.182599622245491e+01
 5.066768000000001e+00,-3.400850548022238e+01
 5.083435000000000e+00,-3.790142492697782e+01
 5.100102000000000e+00,-4.347711096747783e+01
 5.116769000000001e+00,-4.989692948532056e+01
 5.133436000000001e+00,-5.458549094716737e+01
 5.150103000000000e+00,-5.450633201018980e+01
 5.166770000000000e+00,-5.980124477040633e+01
 5.183437000000001e+00,-4.271677461444945e+01
 5.200104000000001e+00,-4.266536964931350e+01
 5.216771000000000e+00,-5.191969847619794e+01
 5.233438000000000e+00,-5.463955510782447e+01
 5.250105000000000e+00,-5.534887002803771e+01
 5.266772000000000e+00,-5.985533430834624e+01
 5.283439000000000e+00,-5.997520618767589e+01
 5.300106000000000e+00,-7.400806055563615e+01
 5.316773000000000e+00,-8.079229524744980e+01
 5.333440000000000e+00,-9.050053774631019e+01
 5.350107000000000e+00,-8.201088066222553e+01
 5.366774000000000e+00,-5.918031008992806e+01
 5.383441000000000e+00,-6.098778958300628e+01
 5.400107999999999e+00,-7.480285508330292e+01
