Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Trunk.JointReactionForce.L5SacrumAnteroPosteriorForce
 3.150063000000000e+00, 4.541765625712694e+01
 3.166730000000000e+00, 4.733235665010645e+01
 3.183397000000000e+00, 4.826065571149993e+01
 3.200064000000000e+00, 4.792159050689005e+01
 3.216731000000000e+00, 4.676725721228002e+01
 3.233398000000000e+00, 4.496699033717800e+01
 3.250065000000000e+00, 4.337829065347024e+01
 3.266732000000000e+00, 4.152181681228889e+01
 3.283399000000000e+00, 3.833863514515242e+01
 3.300066000000000e+00, 3.557659392284489e+01
 3.316733000000000e+00, 3.389476815589182e+01
 3.333400000000000e+00, 3.389325699506551e+01
 3.350067000000000e+00, 3.419468137184981e+01
 3.366734000000000e+00, 3.458868470945968e+01
 3.383401000000000e+00, 3.413089132898820e+01
 3.400068000000000e+00, 3.359592247285570e+01
 3.416735000000001e+00, 3.244694170265055e+01
 3.433402000000000e+00, 3.579886060512038e+01
 3.450069000000000e+00, 4.279779655964832e+01
 3.466736000000000e+00, 4.945770896803653e+01
 3.483403000000000e+00, 5.544280992164673e+01
 3.500070000000000e+00, 6.374353921263621e+01
 3.516737000000000e+00, 6.803328439824381e+01
 3.533404000000000e+00, 6.412548109706032e+01
 3.550071000000000e+00, 5.628351576621665e+01
 3.566738000000000e+00, 1.028821592866353e+02
 3.583405000000000e+00, 4.133585144578559e+02
 3.600072000000000e+00, 3.288966591415276e+02
 3.616739000000000e+00, 2.424990743831887e+02
 3.633406000000000e+00, 2.931125580525043e+02
 3.650073000000000e+00, 4.128453519302752e+02
 3.666740000000000e+00, 4.729522695081405e+02
 3.683407000000000e+00, 5.371571394594197e+02
 3.700074000000000e+00, 6.828166183868859e+02
 3.716741000000000e+00, 8.337117324642512e+02
 3.733408000000000e+00, 8.957749705624832e+02
 3.750075000000000e+00, 9.070246704318373e+02
 3.766742000000000e+00, 9.054183215605922e+02
 3.783409000000000e+00, 9.151897711290753e+02
 3.800076000000000e+00, 9.274593749000157e+02
 3.816743000000000e+00, 9.367383939881410e+02
 3.833410000000000e+00, 9.484910327174897e+02
 3.850077000000000e+00, 9.578097416200555e+02
 3.866744000000000e+00, 9.612862702389317e+02
 3.883411000000000e+00, 9.666680078972342e+02
 3.900078000000000e+00, 9.757199984687741e+02
 3.916745000000000e+00, 9.793964950087982e+02
 3.933412000000000e+00, 9.725665585962001e+02
 3.950079000000000e+00, 9.636665276451417e+02
 3.966746000000000e+00, 9.574380965096628e+02
 3.983413000000000e+00, 9.509966447432739e+02
 4.000080000000001e+00, 9.457292106218199e+02
 4.016747000000001e+00, 9.400468479028731e+02
 4.033414000000000e+00, 9.348812321507420e+02
 4.050081000000000e+00, 9.341570923201522e+02
 4.066748000000000e+00, 9.431726558045540e+02
 4.083415000000000e+00, 9.571989468816324e+02
 4.100082000000000e+00, 9.658467256760692e+02
 4.116749000000000e+00, 9.617916006937847e+02
 4.133416000000000e+00, 9.581353963805216e+02
 4.150083000000000e+00, 9.561736405891901e+02
 4.166750000000000e+00, 9.527128991867612e+02
 4.183417000000000e+00, 9.745195510034198e+02
 4.200084000000000e+00, 1.001989319536387e+03
 4.216751000000000e+00, 1.035089883542052e+03
 4.233418000000000e+00, 1.075246672134263e+03
 4.250085000000000e+00, 1.109688769547907e+03
 4.266752000000000e+00, 1.143262006247258e+03
 4.283419000000000e+00, 1.145327740056183e+03
 4.300086000000000e+00, 1.138092160181739e+03
 4.316753000000000e+00, 1.131974040074299e+03
 4.333420000000000e+00, 1.088690440546212e+03
 4.350087000000000e+00, 1.096307873546716e+03
 4.366754000000000e+00, 1.176678844500150e+03
 4.383421000000000e+00, 1.295610677607615e+03
 4.400088000000000e+00, 1.440125706765202e+03
 4.416755000000000e+00, 1.552126089546249e+03
 4.433422000000000e+00, 1.484551972899905e+03
 4.450089000000000e+00, 1.458000844069357e+03
 4.466756000000000e+00, 1.454689409755174e+03
 4.483423000000000e+00, 1.441069349898774e+03
 4.500090000000000e+00, 1.449841942736697e+03
 4.516757000000000e+00, 1.410481107839124e+03
 4.533424000000000e+00, 1.418080157003353e+03
 4.550091000000000e+00, 1.416610333259488e+03
 4.566758000000000e+00, 1.432807582047358e+03
 4.583425000000000e+00, 1.466998028202659e+03
 4.600092000000000e+00, 1.482232848244679e+03
 4.616759000000000e+00, 1.501751496157512e+03
 4.633426000000000e+00, 1.494343083879193e+03
 4.650093000000000e+00, 1.471748304597018e+03
 4.666760000000000e+00, 1.446392246128524e+03
 4.683427000000000e+00, 1.442826737876386e+03
 4.700094000000000e+00, 1.509386251372744e+03
 4.716761000000000e+00, 1.516745983477891e+03
 4.733428000000000e+00, 1.488054137149677e+03
 4.750095000000000e+00, 1.482405011679944e+03
 4.766762000000000e+00, 1.474525440917076e+03
 4.783429000000000e+00, 1.480059126843519e+03
 4.800096000000000e+00, 1.471063104801488e+03
 4.816763000000000e+00, 1.495424149507990e+03
 4.833430000000000e+00, 1.510630702315672e+03
 4.850097000000000e+00, 1.494116388699845e+03
 4.866764000000000e+00, 1.540185086128536e+03
 4.883431000000001e+00, 1.543489084294856e+03
 4.900098000000000e+00, 1.568021632317942e+03
 4.916765000000000e+00, 1.586411519101760e+03
 4.933432000000001e+00, 1.586308744477839e+03
 4.950099000000001e+00, 1.588998814961549e+03
 4.966766000000000e+00, 1.583105481482393e+03
 4.983433000000000e+00, 1.582189352119548e+03
 5.000100000000001e+00, 1.590137956545330e+03
 5.016767000000000e+00, 1.602948267626173e+03
 5.033434000000000e+00, 1.614221344117435e+03
 5.050101000000001e+00, 1.611597228481373e+03
 5.066768000000001e+00, 1.599581775219017e+03
 5.083435000000000e+00, 1.597033679486352e+03
 5.100102000000000e+00, 1.592929631833521e+03
 5.116769000000001e+00, 1.586956039042166e+03
 5.133436000000001e+00, 1.578541123232409e+03
 5.150103000000000e+00, 1.570250424394405e+03
 5.166770000000000e+00, 1.565663969066351e+03
 5.183437000000001e+00, 1.560747667135412e+03
 5.200104000000001e+00, 1.557213595017310e+03
 5.216771000000000e+00, 1.551341817465737e+03
 5.233438000000000e+00, 1.551380849177812e+03
 5.250105000000000e+00, 1.552645949804613e+03
 5.266772000000000e+00, 1.563404541752997e+03
 5.283439000000000e+00, 1.563124037883131e+03
 5.300106000000000e+00, 1.578235111945097e+03
 5.316773000000000e+00, 1.596892997282141e+03
 5.333440000000000e+00, 1.601966849099040e+03
 5.350107000000000e+00, 1.599777710445087e+03
 5.366774000000000e+00, 1.583795659504807e+03
 5.383441000000000e+00, 1.588257338399865e+03
 5.400107999999999e+00, 1.605965099174059e+03
 5.416775000000000e+00, 1.613609497429343e+03
