Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Trunk.JointReactionForce.L5SacrumAnteroPosteriorForce
 3.150063000000000e+00, 9.660914359216233e+01
 3.166730000000000e+00, 8.654479938729303e+01
 3.183397000000000e+00, 7.028496540009579e+01
 3.200064000000000e+00, 5.462275410707443e+01
 3.216731000000000e+00, 4.371667729541691e+01
 3.233398000000000e+00, 3.692057074617697e+01
 3.250065000000000e+00, 3.592258523225784e+01
 3.266732000000000e+00, 3.726628160103851e+01
 3.283399000000000e+00, 3.814668251028573e+01
 3.300066000000000e+00, 3.582195488205210e+01
 3.316733000000000e+00, 2.944163197862242e+01
 3.333400000000000e+00, 2.129679810038696e+01
 3.350067000000000e+00, 1.712586077875100e+01
 3.366734000000000e+00, 1.799869404579311e+01
 3.383401000000000e+00, 1.993255608947251e+01
 3.400068000000000e+00, 2.101594512728828e+01
 3.416735000000000e+00, 2.017824822391290e+01
 3.433402000000000e+00, 1.816688082716978e+01
 3.450069000000000e+00, 1.473077968178210e+01
 3.466736000000000e+00, 1.060269366744348e+01
 3.483403000000000e+00, 9.399256426910579e+00
 3.500070000000000e+00, 1.120599108566362e+01
 3.516737000000000e+00, 1.335551631666791e+01
 3.533404000000000e+00, 1.535701470328112e+01
 3.550071000000000e+00, 1.686402311493682e+01
 3.566738000000000e+00, 1.797401175671127e+01
 3.583405000000000e+00, 1.892806093097208e+01
 3.600072000000000e+00, 1.996981796562599e+01
 3.616739000000000e+00, 2.135576467445421e+01
 3.633406000000000e+00, 2.342349156614065e+01
 3.650073000000000e+00, 2.601487623147724e+01
 3.666740000000000e+00, 2.872343611828440e+01
 3.683407000000000e+00, 3.135213403945487e+01
 3.700074000000000e+00, 3.377946080661634e+01
 3.716741000000000e+00, 3.570805290459759e+01
 3.733408000000000e+00, 3.705906284141712e+01
 3.750075000000000e+00, 3.772702094330936e+01
 3.766742000000000e+00, 3.791718037827946e+01
 3.783409000000000e+00, 3.707821921889783e+01
 3.800076000000000e+00, 3.474970006952577e+01
 3.816743000000000e+00, 3.093314559500304e+01
 3.833410000000000e+00, 2.635504595477523e+01
 3.850077000000000e+00, 2.186742811741374e+01
 3.866744000000000e+00, 1.817556683199788e+01
 3.883411000000000e+00, 1.538743604298667e+01
 3.900078000000000e+00, 1.345146693653272e+01
 3.916745000000000e+00, 1.216597861754751e+01
 3.933412000000000e+00, 1.121779138994341e+01
 3.950079000000000e+00, 1.101289652612019e+01
 3.966746000000000e+00, 1.120432150958693e+01
 3.983413000000000e+00, 1.173701070010511e+01
 4.000080000000001e+00, 1.166596051796420e+01
 4.016747000000001e+00, 1.048160686313071e+01
 4.033414000000000e+00, 8.219851180700239e+00
 4.050081000000000e+00, 5.665696988177045e+00
 4.066748000000000e+00, 3.470365981936030e+00
 4.083415000000000e+00, 5.071674705186261e+00
 4.100082000000000e+00, 9.016467203174489e+00
 4.116749000000000e+00, 1.457820869908653e+01
 4.133416000000000e+00, 2.163323101180304e+01
 4.150083000000000e+00, 2.798285525089159e+01
 4.166750000000000e+00, 3.286830003257887e+01
 4.183417000000000e+00, 3.587286288887037e+01
 4.200084000000000e+00, 3.714152085163562e+01
 4.216751000000000e+00, 3.835950875516895e+01
 4.233418000000000e+00, 4.405441889881800e+01
 4.250085000000000e+00, 5.217440662376254e+01
 4.266752000000000e+00, 5.789028741239429e+01
 4.283419000000000e+00, 5.966654085943678e+01
 4.300086000000000e+00, 5.793081807639510e+01
 4.316753000000000e+00, 5.368467804098452e+01
